block_number,old_block_id,new_block_id,old_block_hash,new_block_hash,body_identical,hash_match
1,seal-C-359-001,seal-C-372-001,sha256:ec89e30eb8795972184e1ab1f66c261ee443a8350dd44c3a99f7b4205fe8416d,sha256:bfbae53cad41bbb42a9812c875c1ef8f473caf5c7b075113782c9ebe19945c99,False,False
2,seal-C-359-002,seal-C-372-002,sha256:d6ec823c3e5056c12bb05f1917c8821c68fefff9239e3f026a34f1c3b7387b1e,sha256:39f6e348505d20a4111ac02744fbd7e15613a5343f5eac4b23b053a14228bf81,False,False
3,seal-C-359-003,seal-C-359-003,sha256:5897552af387d1bb98f71e33bbce718ec34e014402e82804f4b1a2c115a14c1c,sha256:2886d4a412b1d0532000ec26332ddea3f886df75b5af181d1f1caaa4109ab71c,True,False
4,seal-C-360-004,seal-C-360-004,sha256:ffdcf223ff153961931eca72f4ee0510f2f7ce7f01a08c8a988b2d5f554ecdf9,sha256:7f36119f8a7d57ce031dc4fbcfd41db4dea654d28749206ebf04ac5f04dd178b,True,False
5,seal-C-360-005,seal-C-360-005,sha256:9ea584772ea3d3891ef49c6eaee60f2e5b1a9f1a325455957b2cd7887fb37b05,sha256:782a623f4a7e8bf115f4d8ac3b06bd4eb47e3b527c086b526ca6fb59a5827950,True,False
6,seal-C-360-006,seal-C-360-006,sha256:a5ef1acce8d7f880796242d69a7c58ac7fc2052e0a849b63662d73db5a4f68be,sha256:75a9dc41086d06546c5b7dcf9f1cd6fcfc8e5796e4cd1e966b5ed18545213cde,True,False
7,seal-C-361-007,seal-C-361-007,sha256:4346a009c8260d2e71776f0cc84681de6335a87063c588be917048e5cc0dbbfd,sha256:4c32834933326dd05197cf21fa3f1b3551263234780e3459801b4c198f9eabe2,True,False
8,seal-C-361-008,seal-C-361-008,sha256:63ec1d3ac3665ce0be7be1a6770512bdd099be5817d9b6d8c436b07ba3c0c0f3,sha256:a75105e40b8b1dbcfc01153dfd32ff9274d4d0dc25583a294f78d9f2d8644300,True,False
9,seal-C-362-009,seal-C-362-009,sha256:1449fb76f1154c7179f19018ae68a31fec49ed421ea61d9c0c6cd45230e00c7b,sha256:2aa79d5a457717aaf2a9c5638b4148eebeb38fc62d25365848361e0617ca8c5c,True,False
10,seal-C-362-010,seal-C-362-010,sha256:c6beaf1b7a9f18aca48f69a3464da1b7417c0d7e32eb4532aefff056d60ba6a4,sha256:959a9b0d1b7aeb229a2f88262190f7a0899e13cd926408fd3b3debfbc9f7ea1f,True,False
11,seal-C-362-011,seal-C-362-011,sha256:f2be131f21762d62001da09abe5af17f4815ca12b60b8de8ff29ad5a86c226ac,sha256:863fe6809744387e47b04a7b76fcf3406ef1221e44764005eec63fca63cd2e39,True,False
12,seal-C-363-012,seal-C-363-012,sha256:e5c971f296bc65f37e9f50fda73ef402ec5418775ff748d86c0f100722641d93,sha256:064dbcdb3e1ec3a734ddbe634595871f6d94f6e0113a62cfe3b35eb4cd610044,True,False
